GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;;Farbe;Rang;Zeile;;;Ränge;1;0;fceed3
403;58;93,9621200561524;03.05.20 17:00;;;;"=WENNS(I46=N$5;P$5;I46=N$4;P$4;I46=N$3;P$3;I46 = N$2;P$2;I46=N$1;P$1)";"=WENNS(C46>O$5;N$5;C46>O$4;N$4;C46>O$3;N$3;C46>O$2;N$2;C46>O$1;N$1)";"="".bz""&TEXT(A46;""0"") & "" { fill:#"" &TEXT(H46;""0"") &"";fill-opacity:1 }""";;;;;;
404;128;122,595970153809;03.05.20 17:00;;;;"=WENNS(I47=N$5;P$5;I47=N$4;P$4;I47=N$3;P$3;I47 = N$2;P$2;I47=N$1;P$1)";"=WENNS(C47>O$5;N$5;C47>O$4;N$4;C47>O$3;N$3;C47>O$2;N$2;C47>O$1;N$1)";"="".bz""&TEXT(A47;""0"") & "" { fill:#"" &TEXT(H47;""0"") &"";fill-opacity:1 }""";;;;;;
405;53;159,850402832031;03.05.20 17:00;;;;"=WENNS(I48=N$5;P$5;I48=N$4;P$4;I48=N$3;P$3;I48 = N$2;P$2;I48=N$1;P$1)";"=WENNS(C48>O$5;N$5;C48>O$4;N$4;C48>O$3;N$3;C48>O$2;N$2;C48>O$1;N$1)";"="".bz""&TEXT(A48;""0"") & "" { fill:#"" &TEXT(H48;""0"") &"";fill-opacity:1 }""";;;;;;
406;118;177,121322631836;03.05.20 17:00;;;;"=WENNS(I49=N$5;P$5;I49=N$4;P$4;I49=N$3;P$3;I49 = N$2;P$2;I49=N$1;P$1)";"=WENNS(C49>O$5;N$5;C49>O$4;N$4;C49>O$3;N$3;C49>O$2;N$2;C49>O$1;N$1)";"="".bz""&TEXT(A49;""0"") & "" { fill:#"" &TEXT(H49;""0"") &"";fill-opacity:1 }""";;;;;;
407;72;70,8445281982422;03.05.20 17:00;;;;"=WENNS(I50=N$5;P$5;I50=N$4;P$4;I50=N$3;P$3;I50 = N$2;P$2;I50=N$1;P$1)";"=WENNS(C50>O$5;N$5;C50>O$4;N$4;C50>O$3;N$3;C50>O$2;N$2;C50>O$1;N$1)";"="".bz""&TEXT(A50;""0"") & "" { fill:#"" &TEXT(H50;""0"") &"";fill-opacity:1 }""";;;;;;
408;74;114,336921691895;03.05.20 17:00;;;;"=WENNS(I51=N$5;P$5;I51=N$4;P$4;I51=N$3;P$3;I51 = N$2;P$2;I51=N$1;P$1)";"=WENNS(C51>O$5;N$5;C51>O$4;N$4;C51>O$3;N$3;C51>O$2;N$2;C51>O$1;N$1)";"="".bz""&TEXT(A51;""0"") & "" { fill:#"" &TEXT(H51;""0"") &"";fill-opacity:1 }""";;;;;;
409;42;73,8578414916992;03.05.20 17:00;;;;"=WENNS(I52=N$5;P$5;I52=N$4;P$4;I52=N$3;P$3;I52 = N$2;P$2;I52=N$1;P$1)";"=WENNS(C52>O$5;N$5;C52>O$4;N$4;C52>O$3;N$3;C52>O$2;N$2;C52>O$1;N$1)";"="".bz""&TEXT(A52;""0"") & "" { fill:#"" &TEXT(H52;""0"") &"";fill-opacity:1 }""";;;;;;
410;203;135,087478637695;03.05.20 17:00;;;;"=WENNS(I53=N$5;P$5;I53=N$4;P$4;I53=N$3;P$3;I53 = N$2;P$2;I53=N$1;P$1)";"=WENNS(C53>O$5;N$5;C53>O$4;N$4;C53>O$3;N$3;C53>O$2;N$2;C53>O$1;N$1)";"="".bz""&TEXT(A53;""0"") & "" { fill:#"" &TEXT(H53;""0"") &"";fill-opacity:1 }""";;;;;;
411;251;366,642822265625;03.05.20 17:00;;;;"=WENNS(I54=N$5;P$5;I54=N$4;P$4;I54=N$3;P$3;I54 = N$2;P$2;I54=N$1;P$1)";"=WENNS(C54>O$5;N$5;C54>O$4;N$4;C54>O$3;N$3;C54>O$2;N$2;C54>O$1;N$1)";"="".bz""&TEXT(A54;""0"") & "" { fill:#"" &TEXT(H54;""0"") &"";fill-opacity:1 }""";;;;;;
412;43;70,2568435668945;03.05.20 17:00;;;;"=WENNS(I55=N$5;P$5;I55=N$4;P$4;I55=N$3;P$3;I55 = N$2;P$2;I55=N$1;P$1)";"=WENNS(C55>O$5;N$5;C55>O$4;N$4;C55>O$3;N$3;C55>O$2;N$2;C55>O$1;N$1)";"="".bz""&TEXT(A55;""0"") & "" { fill:#"" &TEXT(H55;""0"") &"";fill-opacity:1 }""";;;;;;
413;150;265,373992919922;03.05.20 17:00;;;;"=WENNS(I56=N$5;P$5;I56=N$4;P$4;I56=N$3;P$3;I56 = N$2;P$2;I56=N$1;P$1)";"=WENNS(C56>O$5;N$5;C56>O$4;N$4;C56>O$3;N$3;C56>O$2;N$2;C56>O$1;N$1)";"="".bz""&TEXT(A56;""0"") & "" { fill:#"" &TEXT(H56;""0"") &"";fill-opacity:1 }""";;;;;;
414;56;97,7192993164062;03.05.20 17:00;;;;"=WENNS(I57=N$5;P$5;I57=N$4;P$4;I57=N$3;P$3;I57 = N$2;P$2;I57=N$1;P$1)";"=WENNS(C57>O$5;N$5;C57>O$4;N$4;C57>O$3;N$3;C57>O$2;N$2;C57>O$1;N$1)";"="".bz""&TEXT(A57;""0"") & "" { fill:#"" &TEXT(H57;""0"") &"";fill-opacity:1 }""";;;;;;
415;181;299,534973144531;03.05.20 17:00;;;;"=WENNS(I58=N$5;P$5;I58=N$4;P$4;I58=N$3;P$3;I58 = N$2;P$2;I58=N$1;P$1)";"=WENNS(C58>O$5;N$5;C58>O$4;N$4;C58>O$3;N$3;C58>O$2;N$2;C58>O$1;N$1)";"="".bz""&TEXT(A58;""0"") & "" { fill:#"" &TEXT(H58;""0"") &"";fill-opacity:1 }""";;;;;;
