Datum	Uhrzeit	<5	5–14	15–24	25–34	35–44	45–54	55–64	65–74	75–84	>84
2020-05-05	10:00:00	0	0	0	1	2	10	21	95	213	231
2020-05-05	11:00:00	0	0	0	1	2	10	21	95	214	231
2020-05-05	12:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	13:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	14:00:00	0	0	0	1	2	10	21	96	214	233
2020-05-05	15:00:00	0	0	0	1	2	10	21	96	214	233
2020-05-05	16:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	17:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	18:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	19:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	20:00:00	0	0	0	1	2	10	21	96	214	232
2020-05-05	21:00:00	0	0	0	1	2	10	21	96	214	232
